sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
100007879,,Default,simple,Default Category,base,Learn How To Cook Seafood Class,Learn How To Cook Seafood Class,,1,2,Taxable Goods,"Catalog, Search",70,,,,Learn-How-To-Cook-Seafood-Class,Learn How To Cook Seafood Class,Learn How To Cook Seafood Class,Learn How To Cook Seafood Class,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
108764,,Default,simple,Default Category,base,DOUBLE-BLADE MEZZALUNA 6 inch,DOUBLE-BLADE MEZZALUNA 6 inch,,1,2,Taxable Goods,"Catalog, Search",49.99,,,,DOUBLE-BLADE-MEZZALUNA-6-inch,DOUBLE-BLADE MEZZALUNA 6 inch,DOUBLE-BLADE MEZZALUNA 6 inch,DOUBLE-BLADE MEZZALUNA 6 inch,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
11172013064,,Default,simple,Default Category,base,Swedish Rosettes & Timbales Set,Swedish Rosettes & Timbales Set,,3,2,Taxable Goods,"Catalog, Search",34,,,,Swedish-Rosettes-Timbales-Set,Swedish Rosettes & Timbales Set,Swedish Rosettes & Timbales Set,Swedish Rosettes & Timbales Set,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
11644000677,,Default,simple,Default Category,base,All-Clad Professional Stainless Steel Slotted Spoon,All-Clad Professional Stainless Steel Slotted Spoon,,1,2,Taxable Goods,"Catalog, Search",23.99,,,,All-Clad-Professional-Stainless-Steel-Slotted-Spoon,All-Clad Professional Stainless Steel Slotted Spoon,All-Clad Professional Stainless Steel Slotted Spoon,All-Clad Professional Stainless Steel Slotted Spoon,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
11644000684,,Default,simple,Default Category,base,All Clad Professional Tools Solid Spoon,All Clad Professional Tools Solid Spoon,,1,2,Taxable Goods,"Catalog, Search",23.99,,,,All-Clad-Professional-Tools-Solid-Spoon,All Clad Professional Tools Solid Spoon,All Clad Professional Tools Solid Spoon,All Clad Professional Tools Solid Spoon,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
11644000691,,Default,simple,Default Category,base,All Clad Professional Tools Fork,All Clad Professional Tools Fork,,1,2,Taxable Goods,"Catalog, Search",23.99,,,,All-Clad-Professional-Tools-Fork,All Clad Professional Tools Fork,All Clad Professional Tools Fork,All Clad Professional Tools Fork,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
11644000707,,Default,simple,Default Category,base,All Clad Professional Tools Ladle,All Clad Professional Tools Ladle,,1,2,Taxable Goods,"Catalog, Search",23.99,,,,All-Clad-Professional-Tools-Ladle,All Clad Professional Tools Ladle,All Clad Professional Tools Ladle,All Clad Professional Tools Ladle,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
11644000714,,Default,simple,Default Category,base,All Clad Professional Tools Pasta Ladle,All Clad Professional Tools Pasta Ladle,,1,2,Taxable Goods,"Catalog, Search",23.99,,,,All-Clad-Professional-Tools-Pasta-Ladle,All Clad Professional Tools Pasta Ladle,All Clad Professional Tools Pasta Ladle,All Clad Professional Tools Pasta Ladle,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
11644000721,,Default,simple,Default Category,base,All Clad Professional Tools Small Turner,All Clad Professional Tools Small Turner,,1,2,Taxable Goods,"Catalog, Search",23.99,,,,All-Clad-Professional-Tools-Small-Turner,All Clad Professional Tools Small Turner,All Clad Professional Tools Small Turner,All Clad Professional Tools Small Turner,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
11644000738,,Default,simple,Default Category,base,All Clad Professional Tools Large Slotted Turner,All Clad Professional Tools Large Slotted Turner,,1,2,Taxable Goods,"Catalog, Search",23.99,,,,All-Clad-Professional-Tools-Large-Slotted-Turner,All Clad Professional Tools Large Slotted Turner,All Clad Professional Tools Large Slotted Turner,All Clad Professional Tools Large Slotted Turner,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
