sku	product_type	categories	name	description	short_description	weight	price	url_key	meta_title	meta_keywords	meta_description	qty
100004717	simple	Default Category	Wilton Heart Cutters - Assorted	Wilton Heart Cutters - Assorted		0.1	0.99	Wilton-Heart-Cutters-Assorted	Wilton Heart Cutters - Assorted	Wilton Heart Cutters - Assorted	Wilton Heart Cutters - Assorted	100
100006650	simple	Default Category	Mac Brothers Black Garlic - 2 Heads 	Mac Brothers Black Garlic - 2 Heads 		1	15.00	Mac-Brothers-Black-Garlic-2-Heads	Mac Brothers Black Garlic - 2 Heads 	Mac Brothers Black Garlic - 2 Heads 	Mac Brothers Black Garlic - 2 Heads 	100
100007879	simple	Default Category	Learn How To Cook Seafood Class	Learn How To Cook Seafood Class		1	70.00	Learn-How-To-Cook-Seafood-Class	Learn How To Cook Seafood Class	Learn How To Cook Seafood Class	Learn How To Cook Seafood Class	100
108764	simple	Default Category	DOUBLE-BLADE MEZZALUNA 6 inch	DOUBLE-BLADE MEZZALUNA 6 inch		1	49.99	DOUBLE-BLADE-MEZZALUNA-6-inch	DOUBLE-BLADE MEZZALUNA 6 inch	DOUBLE-BLADE MEZZALUNA 6 inch	DOUBLE-BLADE MEZZALUNA 6 inch	100
11002057	simple	Default Category	Marcato Atlas 150 Pasta Machine	Marcato Atlas 150 Pasta Machine		1	99.99	Marcato-Atlas-150-Pasta-Machine	Marcato Atlas 150 Pasta Machine	Marcato Atlas 150 Pasta Machine	Marcato Atlas 150 Pasta Machine	100
11172013064	simple	Default Category	Swedish Rosettes & Timbales Set 	Swedish Rosettes & Timbales Set 		3	34.00	Swedish-Rosettes-Timbales-Set	Swedish Rosettes & Timbales Set 	Swedish Rosettes & Timbales Set 	Swedish Rosettes & Timbales Set 	100
11172439420	simple	Default Category	Non-stick Oven Safe Baking & Cooling Grid	Non-stick Oven Safe Baking & Cooling Grid		2	15.99	Non-stick-Oven-Safe-Baking-Cooling-Grid	Non-stick Oven Safe Baking & Cooling Grid	Non-stick Oven Safe Baking & Cooling Grid	Non-stick Oven Safe Baking & Cooling Grid	100
11172882486	simple	Default Category	Snowflake Cake Pan	Snowflake Cake Pan		1.8	31.99	Snowflake-Cake-Pan	Snowflake Cake Pan	Snowflake Cake Pan	Snowflake Cake Pan	100
11644000677	simple	Default Category	All-Clad Professional Stainless Steel Slotted Spoon 	All-Clad Professional Stainless Steel Slotted Spoon 		1	23.99	All-Clad-Professional-Stainless-Steel-Slotted-Spoon	All-Clad Professional Stainless Steel Slotted Spoon 	All-Clad Professional Stainless Steel Slotted Spoon 	All-Clad Professional Stainless Steel Slotted Spoon 	100
11644000684	simple	Default Category	All Clad Professional Tools Solid Spoon 	All Clad Professional Tools Solid Spoon 		1	23.99	All-Clad-Professional-Tools-Solid-Spoon	All Clad Professional Tools Solid Spoon 	All Clad Professional Tools Solid Spoon 	All Clad Professional Tools Solid Spoon 	100
