Date,Error,Valid,Impressions
2021-09-03,0,5,497
2021-09-04,0,5,512
2021-09-05,0,8,487
2021-09-06,0,8,537
2021-09-07,0,8,432
2021-09-08,0,9,365
2021-09-09,0,8,447
2021-09-10,0,7,407
2021-09-11,0,7,453
2021-09-12,0,7,438
2021-09-13,0,7,431
2021-09-14,0,6,362
2021-09-15,0,6,242
2021-09-16,0,5,386
2021-09-17,0,5,497
2021-09-18,0,4,458
2021-09-19,0,5,483
2021-09-20,0,6,439
2021-09-21,0,6,425
2021-09-22,0,8,454
2021-09-23,0,8,414
2021-09-24,0,8,304
2021-09-25,0,8,406
2021-09-26,0,9,394
2021-09-27,0,9,371
2021-09-28,0,9,341
2021-09-29,0,8,304
2021-09-30,0,7,365
2021-10-01,0,6,287
2021-10-02,0,6,309
2021-10-03,0,5,332
2021-10-04,0,5,375
2021-10-05,0,5,291
2021-10-06,0,5,442
2021-10-07,0,5,486
2021-10-08,0,6,432
2021-10-09,0,6,482
2021-10-10,0,5,474
2021-10-11,0,4,509
2021-10-12,1,96,1199
2021-10-13,1,191,1336
2021-10-14,1,275,1339
2021-10-15,1,321,1321
2021-10-16,1,392,1258
2021-10-17,1,445,1310
2021-10-18,1,473,1489
2021-10-19,1,573,1471
2021-10-20,1,741,1644
2021-10-21,1,825,1716
2021-10-22,1,861,1741
2021-10-23,1,932,1798
2021-10-24,1,995,1938
2021-10-25,1,1018,2008
2021-10-26,1,1022,2086
2021-10-27,1,1059,2087
2021-10-28,0,1063,1787
2021-10-29,0,1065,2022
2021-10-30,0,1055,1882
2021-10-31,0,1029,1784
2021-11-01,0,984,1933
2021-11-02,0,895,1955
2021-11-03,0,817,1750
2021-11-04,0,709,1632
2021-11-05,0,627,1475
2021-11-06,0,561,1379
2021-11-07,0,506,1526
2021-11-08,0,480,1646
2021-11-09,0,462,1622
2021-11-10,0,450,1772
2021-11-11,0,439,1599
2021-11-12,0,445,1542
2021-11-13,0,439,1634
2021-11-14,0,443,1709
2021-11-15,0,435,1698
2021-11-16,0,425,1566
2021-11-17,0,427,2020
2021-11-18,0,427,1955
2021-11-19,0,424,1747
2021-11-20,0,418,1688
2021-11-21,0,424,1976
2021-11-22,0,429,2216
2021-11-23,0,417,2028
2021-11-24,0,416,2093
2021-11-25,0,422,2089
2021-11-26,9,422,2211
2021-11-27,30,401,1950
2021-11-28,22,413,2009
2021-11-29,22,406,2167
2021-11-30,19,410,
2021-12-01,10,418,
