"Reward Dashboard","Panel de Recompensas"
"Total Earned","Puntos ganados en Total"
"Total Spent","Puntos gastados en Total"
"Reward information","Información de Puntos de Recompensa"
"Each %1 spent for your order will earn %2.","Cada %1 de compra te dará %2."
"Each %1 can be redeemed for %2.","Cada %1 puede ser canjeado por %2."
"Each earned %1(s) record expires in %2","Cada %1(s) ganado expira en %2 días"
"Recent Transactions","Ultimas Transacciones"
"Transaction #","Transacción #"
"Expire Date","Fecha de Expiración"
"Earn points for purchasing order","Puntos ganados por la compra"
"Completed","Completada"
"Email Notification","Notificaciones por Correo Electrónico"
"Subscribe to balance update","Recibir correos sobre actualizaciones de mi saldo en puntos"
"Subscribe to points expiration notification","Recibir correos sobre notificación de Expiración de mis puntos"
"Transaction #%1","Transacción #%1"
"Checkout now to earn","Termina tu pedido y obtén"
"You will earn","Obtendrás"
"You will spend","Usarás"
"Spend Your Points","Utiliza tus puntos"
"You have %s","Tienes %s"
"Choose how many points to spend","Elige cuantos gastar"
"Each of %1 gets %2 discount","Cada %1 te da %2 de descuento"
"Maximize my discount with points","Usar todos mis puntos"
"Spend Your Points","Utilizar mis puntos recompensa"
"Earned","Puntos ganados"
"Spent","Puntos gastados"


